Frequency(Hz),EEG(V≤)
164.453,3.84E-20
164.844,2.81E-20
165.234,1.47E-20
165.625,1.17E-20
166.016,3.35E-20
166.406,6.85E-20
166.797,1.21E-19
167.188,1.18E-19
167.578,3.55E-20
167.969,2.14E-20
168.359,8.44E-20
168.75,7.36E-20
169.141,1.61E-20
169.531,1.31E-20
169.922,4.29E-20
170.312,7.06E-20
170.703,8.37E-20
171.094,8.76E-20
171.484,9.99E-20
171.875,7.58E-20
172.266,1.53E-20
172.656,8.50E-21
173.047,5.53E-20
173.438,9.23E-20
173.828,8.14E-20
174.219,1.75E-20
174.609,3.84E-20
175,2.05E-19
175.391,2.52E-19
175.781,8.72E-20
176.172,1.14E-20
176.562,8.10E-20
176.953,6.70E-20
177.344,3.28E-21
177.734,3.33E-20
178.125,7.49E-20
178.516,4.50E-20
178.906,7.29E-21
179.297,1.08E-20
179.688,4.69E-20
180.078,1.04E-19
180.469,1.48E-19
180.859,1.20E-19
181.25,3.17E-20
181.641,5.40E-21
182.031,8.30E-20
182.422,1.18E-19
182.812,4.24E-20
183.203,7.05E-21
183.594,7.83E-20
183.984,1.07E-19
184.375,4.17E-20
184.766,1.56E-21
185.156,1.43E-20
185.547,1.32E-20
185.938,1.21E-20
186.328,4.64E-20
186.719,8.68E-20
187.109,9.63E-20
187.5,6.31E-20
187.891,1.84E-20
188.281,1.91E-20
188.672,4.83E-20
189.062,4.18E-20
189.453,1.27E-20
189.844,1.41E-20
190.234,3.22E-20
190.625,2.23E-20
191.016,1.15E-20
191.406,5.74E-20
191.797,1.01E-19
192.188,5.46E-20
192.578,4.59E-21
192.969,4.38E-20
193.359,7.42E-20
193.75,3.51E-20
194.141,1.22E-20
194.531,2.46E-20
194.922,2.41E-20
195.312,1.63E-20
195.703,1.30E-20
196.094,1.80E-20
196.484,3.80E-20
196.875,4.64E-20
197.266,3.32E-20
197.656,2.97E-20
198.047,3.79E-20
198.438,4.30E-20
198.828,4.80E-20
199.219,4.21E-20
199.609,1.70E-20
200,4.97E-22
