Interval=	0.0025 s
ExcelDateTime=	4.3516511156525536e+004	2/20/2019 12:16:03.923806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
32.8375	-12.0125
32.84	-14.125
32.8425	-12.90625
32.845	-9.81875
32.8475	-6.9
32.85	-3.99375
32.8525	-1.85625
32.855	-3.18125
32.8575	-8.50625
32.86	-14.125
32.8625	-16.7125
32.865	-16.78125
32.8675	-17.28125
32.87	-20.24375
32.8725	-24.45
32.875	-27
32.8775	-27.84375
32.88	-29.36875
32.8825	-31.625
32.885	-33.33125
32.8875	-35.7375
32.89	-40.13125
32.8925	-43.9875
32.895	-44.4625
32.8975	-41.83125
32.9	-38.29375
32.9025	-37.09375
32.905	-39.675
32.9075	-42.89375
32.91	-43.025
32.9125	-40.25625
32.915	-36.4
32.9175	-32.53125
32.92	-29.9875
32.9225	-29.275
32.925	-28.5375
32.9275	-26.8
32.93	-24.525
32.9325	-20.25
32.935	-14
32.9375	-9.39375
32.94	-7.7625
32.9425	-6.36875
32.945	-4.5875
32.9475	-3.7375
32.95	-4.05
32.9525	-6.55
32.955	-11.0125
32.9575	-12.96875
32.96	-8.375
32.9625	1.16875
32.965	10.9
32.9675	16.59375
32.97	17.7
32.9725	18.35625
32.975	22.825
32.9775	33.21875
32.98	42.8
32.9825	36.35
32.985	10.60625
32.9875	-19.16875
32.99	-39.4375
32.9925	-48.9375
32.995	-50.85625
32.9975	-47.80625
33	-42.20625
33.0025	-39.19375
33.005	-42.1875
33.0075	-46.08125
33.01	-44.49375
33.0125	-38.86875
33.015	-32.875
33.0175	-27.0625
33.02	-22.60625
33.0225	-21.7125
33.025	-22.6125
33.0275	-20.64375
33.03	-14.55625
33.0325	-7.2
33.035	-2.28125
33.0375	-2.2
33.04	-6.73125
33.0425	-13.49375
33.045	-20.34375
33.0475	-25.86875
33.05	-28.525
33.0525	-27.7875
33.055	-24.925
33.0575	-21.36875
33.06	-18.56875
33.0625	-18.21875
33.065	-20.7875
33.0675	-25.13125
33.07	-30.33125
33.0725	-35.53125
33.075	-38.725
33.0775	-39.1
33.08	-38.94375
33.0825	-40.66875
33.085	-42.06875
33.0875	-40.5625
33.09	-38.3
33.0925	-37.16875
33.095	-36.2875
33.0975	-37.2
33.1	-41.5125
33.1025	-46.2
33.105	-49.89375
33.1075	-54.01875
33.11	-56.9
33.1125	-56.1625
33.115	-54.25
33.1175	-54.63125
33.12	-56.4375
33.1225	-55.85625
33.125	-50.73125
33.1275	-42.9875
33.13	-36.66875
33.1325	-34.74375
33.135	-36.95625
33.1375	-41.025
33.14	-44.775
33.1425	-45.625
33.145	-41.95
33.1475	-35.24375
33.15	-28.35625
33.1525	-23.56875
33.155	-22.36875
33.1575	-24.5875
33.16	-27.875
33.1625	-29.63125
33.165	-28.775
33.1675	-25.6625
33.17	-21.175
33.1725	-17.10625
33.175	-15.825
33.1775	-17.6375
33.18	-20.51875
33.1825	-22.1875
33.185	-22.24375
33.1875	-22
33.19	-22.46875
33.1925	-23.1875
33.195	-23.2875
33.1975	-23.025
33.2	-23.025
33.2025	-22.84375
33.205	-21.26875
33.2075	-19.10625
33.21	-18.375
33.2125	-18.9125
33.215	-18.4875
33.2175	-16.5375
33.22	-14.4
33.2225	-12.23125
33.225	-9.23125
33.2275	-6.025
33.23	-4.375
33.2325	-4.5375
33.235	-5.975
33.2375	-8.49375
33.24	-10.86875
33.2425	-10.95625
33.245	-9.63125
33.2475	-10.64375
33.25	-15.04375
33.2525	-18.775
33.255	-17.86875
33.2575	-13.46875
33.26	-9.09375
33.2625	-6.60625
33.265	-6.375
33.2675	-8.31875
33.27	-11.1625
33.2725	-12.48125
33.275	-10.79375
33.2775	-7.475
33.28	-5.4625
33.2825	-5.78125
33.285	-6.64375
33.2875	-5.98125
33.29	-4.0375
33.2925	-1.925
33.295	0.43125
33.2975	2.90625
33.3	4.96875
33.3025	6.70625
33.305	8.35625
33.3075	10.08125
33.31	11.5
33.3125	11.55625
33.315	10.43125
33.3175	9.45
33.32	8.78125
33.3225	7.65
33.325	6.45
33.3275	6.21875
33.33	6.71875
33.3325	6.3875
33.335	3.96875
33.3375	-0.1
33.34	-3.71875
33.3425	-4.775
33.345	-3.6
33.3475	-2.54375
33.35	-3.35
33.3525	-5.73125
33.355	-8.425
33.3575	-10.68125
33.36	-13.00625
33.3625	-16.00625
33.365	-17.575
33.3675	-15.2
33.37	-10.3625
33.3725	-6.65625
33.375	-5.24375
33.3775	-4.1375
33.38	-1.03125
33.3825	4.0875
33.385	9.06875
33.3875	11.05625
33.39	8.6625
33.3925	4.075
33.395	1.35
33.3975	1.9375
33.4	3.44375
33.4025	3.2125
33.405	1.48125
33.4075	0.0125
33.41	-1.1875
33.4125	-2.7375
33.415	-3.96875
33.4175	-4.8375
33.42	-6.85625
33.4225	-10.58125
33.425	-13.95625
33.4275	-15.01875
33.43	-14.36875
33.4325	-14.275
33.435	-15.8375
33.4375	-18.0125
33.44	-18.91875
33.4425	-17.48125
33.445	-15.0875
33.4475	-14.69375
33.45	-16.81875
33.4525	-18.95
33.455	-19.55625
33.4575	-19.075
33.46	-17.925
33.4625	-16.1625
33.465	-13.8
33.4675	-10.975
33.47	-8.13125
33.4725	-5.28125
33.475	-2.54375
33.4775	-1.4125
33.48	-2.7125
33.4825	-4.75
33.485	-4.9125
33.4875	-2.86875
33.49	-1.375
33.4925	-2.8
33.495	-5.31875
33.4975	-5.125
33.5	-1.38125
33.5025	3.48125
33.505	5.73125
33.5075	2.51875
33.51	-4.54375
33.5125	-10.0625
33.515	-12.18125
33.5175	-14.29375
33.52	-16.9125
33.5225	-15.14375
33.525	-7.19375
33.5275	0.99375
33.53	3.49375
33.5325	1.70625
33.535	0.075
33.5375	-0.775
33.54	-2.4375
33.5425	-3.91875
33.545	-3.03125
33.5475	-0.2
33.55	3
33.5525	5.60625
33.555	7.05
